px,py,pz,qw,qx,qy,qz
0.8880782049,0.4777818747,0.3815837091,0.2873331165,-0.2565352891,0.92039204,-0.0671402891
1.0126492223,0.0874181775,0.5299439017,0.244969249,-0.1963126845,0.6855473673,-0.6568684831
0.6720809815,0.9506067594,0.7514295895,0.617711583,-0.3902124766,0.6757433618,0.0976602902
0.9865125104,-0.177147819,0.4616451796,0.4272826607,0.0479016803,0.8459372405,-0.315476056
1.1799787542,0.2551256113,0.4646336845,-0.7575161799,-0.0711379642,-0.6447268785,-0.0737284163
0.5357531552,-0.0038773244,0.4166131758,0.0801502895,0.0800684659,0.6551831093,-0.7469270815
0.942482552,0.3822391816,0.4238252405,0.3680769657,0.5927087395,0.6490896043,0.3031474607
0.8728302617,0.2538031646,0.8723582727,0.679049558,-0.0168022534,0.717890466,-0.1524554388
0.8023577767,0.2328202917,0.5770577707,-0.7360773274,-0.1260638909,-0.664296207,0.0317586656
0.6799605515,-0.1023477179,0.592564722,-0.7106006597,-0.2880857827,-0.5911199573,0.2502608246
0.5308448083,0.8560614046,0.6223646026,-0.712423251,0.2863789511,-0.5880058211,-0.2543410353
0.8832690523,0.8008863832,0.6016529152,-0.543358979,0.7505413858,-0.3375399994,0.1658776568
0.4041437276,0.1486977237,0.4186371609,0.0201023041,0.2565130695,0.4816835349,-0.83772186
0.7791775933,0.2036650254,0.0597240374,0.3026277326,-0.1466560215,0.8470723837,-0.4115541806
0.4350133462,0.1985817265,0.3140070525,0.2228391253,0.1427414218,0.4152617914,-0.870359268
0.339211776,0.1201244157,0.2615526267,0.1136282856,0.1105679408,0.6881895845,-0.7079960727
0.6403284327,0.0832045391,0.2632209625,0.0096214695,0.1138182832,0.7174830415,-0.6871469355
0.5273268795,-0.269250627,0.3866851861,-0.0940526587,-0.0046074321,0.5930664717,-0.7996280567
0.7449266913,0.067383138,0.0396773763,-0.0408745481,-0.0087635154,-0.9991251648,0.0011735482
0.5188181399,0.0319556722,0.436940332,-0.0227641874,0.0215662838,0.7212312027,-0.6919842769
0.7854110286,-0.0545861303,0.2489963012,0.0364440352,0.0872870179,0.6976148039,-0.7102016574
0.7152717494,0.0720945961,0.3240365413,0.0214599651,0.0574319937,0.4543753257,-0.8886979799
0.5150967475,0.1209460383,0.3501253791,-0.1617728933,0.016865881,0.4425106778,-0.8818896604
0.9496467145,0.5835925154,0.3742980347,-0.7488655231,-0.0573016144,-0.6601622828,0.0101347765
1.0987098032,0.3496836291,0.4967224537,0.6504807557,0.0671987378,0.7521811866,-0.0811330919
0.9325582099,0.3199464003,0.7923717927,0.6891600938,0.022685001,0.7165847337,-0.1051193387
0.7806534972,0.3722012631,0.5632762569,0.4122410846,0.0230211275,0.9107525534,-0.0075566086
0.8077022554,0.1995232247,0.8808882762,-0.9180359965,-0.0455799099,-0.3808359634,0.1004805953
0.6541678414,0.7159204047,0.5462663157,-0.7487239483,0.6128261234,-0.2524303525,0.011640829
0.6718284787,-0.1136725899,0.278795424,-0.1413253867,-0.2046643859,0.7825679207,-0.5707250421
0.6228523828,0.0770597282,0.3841702461,0.0157665015,-0.0786262404,0.82699944,-0.5564541831
0.5251075101,-0.2603223851,0.4493982716,-0.0076748203,0.0550514358,0.7020522527,-0.7099528654
0.4174181572,0.0508053019,0.4484306178,-0.02992105,0.01648399,0.712159574,-0.7011859597
1.0482949006,0.3368338349,0.4801549397,-0.6822124404,-0.0472510899,-0.7246178446,0.0853375644
1.1144425688,0.2764913758,0.5507400229,-0.6961387605,0.1572710128,-0.6952503919,-0.0853437003
0.997628265,0.6023401599,0.5274376706,-0.562966831,0.4043860799,-0.6788249623,-0.2423570015
0.9903991666,0.4022935441,0.3215992365,-0.6980268055,0.0027160497,-0.715170122,0.0358175724
0.7930469411,0.5731692174,0.1253614913,0.0461686174,0.347394062,0.9154451442,0.1978535124
0.8868313263,0.6231965788,0.4345588697,-0.6883892112,0.0911660295,-0.7186831001,0.0361061034
